id,university,subject,close,first_result,interview,finale_rusult
148,연세대학교(활동우수자),사회환경시스템공학부,9/11~9/13,11월 17일,12월 02일,12월 15일
149,연세대학교(활동우수자),기계공학부,9/11~9/13,11월 17일,12월 02일,12월 15일
150,연세대학교(활동우수자),신소재공학부,9/11~9/13,11월 17일,12월 02일,12월 15일
151,연세대학교(활동우수자),산업공학과,9/11~9/13,11월 17일,12월 02일,12월 15일
152,연세대학교(활동우수자),컴퓨터과학과,9/11~9/13,11월 17일,12월 02일,12월 15일
153,연세대학교(활동우수자),시스템생물학과,9/11~9/13,11월 17일,12월 02일,12월 15일
154,연세대학교(활동우수자),생화학과,9/11~9/13,11월 17일,12월 02일,12월 15일
155,연세대학교(활동우수자),생명공학과,9/11~9/13,11월 17일,12월 02일,12월 15일
156,연세대학교(활동우수자),신학과,9/11~9/13,11월 17일,12월 02일,12월 15일
157,연세대학교(활동우수자),정치외교학과,9/11~9/13,11월 17일,12월 02일,12월 15일
158,연세대학교(활동우수자),행정학과,9/11~9/13,11월 17일,12월 02일,12월 15일
159,연세대학교(활동우수자),사회복지학과,9/11~9/13,11월 17일,12월 02일,12월 15일
160,연세대학교(활동우수자),사회학과,9/11~9/13,11월 17일,12월 02일,12월 15일
161,연세대학교(활동우수자),문화인류학과,9/11~9/13,11월 17일,12월 02일,12월 15일
162,연세대학교(활동우수자),언론홍보영상학부,9/11~9/13,11월 17일,12월 02일,12월 15일
163,연세대학교(활동우수자),의류환경학과(인문),9/11~9/13,11월 17일,12월 02일,12월 15일
164,연세대학교(활동우수자),의류환경학과(자연),9/11~9/13,11월 17일,12월 02일,12월 15일
165,연세대학교(활동우수자),식품영양학과(인문),9/11~9/13,11월 17일,12월 02일,12월 15일
166,연세대학교(활동우수자),식품영양학과(자연),9/11~9/13,11월 17일,12월 02일,12월 15일
167,연세대학교(활동우수자),실내건축학과(인문),9/11~9/13,11월 17일,12월 02일,12월 15일
